 ,Mkt-RF,SMB,HML,RF,Mom,ST_Rev,LT_Rev
196001,-6.98,2.09,2.78,0.33,-3.54,3.71,0.92
196002,1.17,0.51,-1.93,0.29,3.92,-0.52,-0.8
196003,-1.63,-0.49,-2.94,0.35,1.38,-0.77,-1.42
196004,-1.71,0.32,-2.28,0.19,2.84,-2.29,-1.19
196005,3.12,1.21,-3.7,0.27,4.79,-3.54,-3.5
196006,2.08,-0.21,-0.34,0.24,0.86,1.12,-0.12
196007,-2.37,-0.51,1.98,0.13,-0.81,1.07,0.27
196008,3.01,0.87,-0.18,0.17,1.91,-1.37,1.09
196009,-5.99,-1.11,1.62,0.16,0.32,-0.04,1.31
196010,-0.71,-4.08,2.83,0.22,1.25,-2.13,1.25
196011,4.69,0.4,-2.43,0.13,3.78,1.05,-2.58
196012,4.71,-1.55,-0.81,0.16,1.41,0.78,-0.57
196101,6.2,0.64,3.72,0.19,-4.0,1.17,3.73
196102,3.57,3.93,-0.66,0.14,0.98,1.32,-2.73
196103,2.89,3.3,-0.73,0.2,4.54,1.5,-3.01
196104,0.29,0.07,2.12,0.17,3.6,1.93,0.76
196105,2.4,2.01,0.37,0.18,-1.57,3.51,0.78
196106,-3.08,-2.49,-0.14,0.2,0.33,1.32,-1.73
196107,2.83,-1.9,-0.09,0.18,0.27,1.43,-0.31
196108,2.57,-1.75,-0.28,0.14,1.59,1.13,-1.59
196109,-2.15,-1.07,-0.61,0.17,0.82,-1.65,-2.86
196110,2.57,-1.65,0.15,0.19,3.11,-1.4,-0.49
196111,4.45,1.26,-1.23,0.15,1.35,-0.47,-2.56
196112,-0.18,-0.85,1.79,0.19,-2.21,1.15,3.38
196201,-3.87,1.77,5.13,0.24,-2.03,0.94,6.62
196202,1.81,-1.15,0.82,0.2,-1.01,0.86,1.13
196203,-0.68,0.52,-1.38,0.2,1.84,0.71,-1.14
196204,-6.59,-0.7,0.03,0.22,2.91,-0.82,0.59
196205,-8.65,-3.34,2.77,0.24,0.41,-0.18,3.42
196206,-8.47,-0.59,2.55,0.2,6.46,-2.82,1.74
196207,6.28,1.52,-3.41,0.27,0.52,3.53,-2.27
196208,2.13,1.22,-1.2,0.23,-0.6,-0.12,-1.1
